Instrument,IGEpic,IGCurrency,IGMultiplier,IGInverse,IGPeriods,IGMargin,BarchartCode
RICE,,,,,na,,ZR
RICE_fsb,CO.D.RR,GBP,1000.0,False,Month1|Month2,0.1,ZR
ROBUSTA,,,,,na,,RM
ROBUSTA_fsb,CO.D.LKD,GBP,1.0,False,Month1|Month2|Month3,0.1,RM
RUSSELL,,,,,na,,QR
RUSSELL_fsb,IX.D.RUSSELL,GBP,1.0,False,MONTH1|MONTH2,0.1,QR
SEK,,,,,na,,SK
SEK_fsb,CF.D.USDSEK,GBP,10000.0,True,MAR|JUN|SEP|DEC,0.05,SK
SGD,,,,,na,,R$
SGD_fsb,CF.D.USDSGD,GBP,10000.0,False,MAR|JUN|SEP|DEC,0.05,R$
SHATZ,,,,,na,,HF
SHATZ_fsb,IR.D.FGBS,GBP,100.0,False,Month1|Month2,0.2,HF
SILVER,,,,,na,,SI
SILVER_fsb,MT.D.SI,GBP,100.0,False,Month1|Month2,0.1,SI
SMI,,,,,na,,SZ
SMI_fsb,IX.D.SMI,GBP,1.0,False,MONTH1|MONTH2,0.1,SZ
SOFR,,,,,na,,SQ
SOFR_fsb,IR.D.SRA,GBP,100.0,False,Month1|Month3|MONTH7|Mnth10|Mnth11|Month12|Month13|Month16|Month17|MonthM,0.2,SQ
SONIA3,,,,,na,,MZ
SONIA3_fsb,IR.D.FSS,GBP,100.0,False,Month2|Month3|Month4|Month6|Month7|Month8|month9|Month10|Month11|MONTHC|Mth14|Mth13,0.2,MZ
SOYBEAN,,,,,na,,ZS
SOYBEAN_fsb,CO.D.S,GBP,1.0,False,Month1|Month2,0.1,ZS
SOYMEAL,,,,,na,,ZM
SOYMEAL_fsb,CO.D.SM,GBP,100.0,False,Month1|Month2,0.1,ZM
SOYOIL,,,,,na,,ZL
SOYOIL_fsb,CO.D.BO,GBP,100.0,False,Month1|Month2|Month3|Month4,0.1,ZL
SP500,,,,,na,,ES
SP500_fsb,IX.D.SPTRD,GBP,1.0,False,MONTH1|MONTH2,0.05,ES
SUGAR11,,,,,na,,SB
SUGAR11_fsb,CO.D.SB,GBP,100.0,False,Month1|Month2|Month3|Month4|Month5|Month6|Month7|Month8,0.1,SB
SUGAR_WHITE,,,,,na,,SW
SUGAR_WHITE_fsb,CO.D.LSU,GBP,1.0,False,Month1|Month2|Month3|Month4|Month5|Month6,0.1,SW
US2,,,,,na,,ZT
US2_fsb,IR.D.02YEAR100,GBP,100.0,False,Month1|Month2,0.2,ZT
US5,,,,,na,,ZF
US5_fsb,IR.D.05YEAR100,GBP,100.0,False,Month1|Month2,0.2,ZF
US10,,,,,na,,ZN
US10_fsb,IR.D.10YEAR100,GBP,100.0,False,Month1|Month2,0.2,ZN
US30Y,,,,,na,,ZB
US30Y_fsb,IR.D.BOND100,GBP,100.0,False,Month1|Month2,0.2,ZB
US30U,,,,,na,,UD
US30U_fsb,IR.D.ULTRA100,GBP,100.0,False,Month1|Month2,0.2,UD
VIX,,,,,na,,VI
VIX_fsb,IN.D.VIX,GBP,1.0,False,MONTH1|MONTH2|MONTH3|MONTH4|MONTH5,0.2,VI
V2X,,,,,na,,DV
V2X_fsb,IN.D.VSTOXX,GBP,1.0,False,MONTH1|MONTH2|MONTH3|MONTH4|MONTH5,0.2,DV
WHEAT,,,,,na,,ZW
WHEAT_fsb,CO.D.W,GBP,1.0,False,Month1|Month2|Month3|MonthZ,0.1,ZW
WHEAT_ICE,,,,,na,,LW
WHEAT_ICE_fsb,CO.D.LWB,GBP,1.0,False,Month1|Month3|Month4,0.1,LW
ZAR,,,,,na,,T6
ZAR_fsb,CF.D.USDZAR,GBP,10000.0,True,MAR|JUN|SEP|DEC,0.05,T6
