===============================================================================
Id,2006-day-001,len,datetime,open,high,low,close,volume,openinterest,Strategy,len,datetime
48,2006-day-001,48,2006-03-08 23:59:59.999989,3745.1,3757.16,3702.04,3727.96,0.0,0.0,Strategy,48,732378.9999999999
49,2006-day-001,49,2006-03-09 23:59:59.999989,3736.61,3765.56,3736.61,3757.59,0.0,0.0,Strategy,49,732379.9999999999
50,2006-day-001,50,2006-03-10 23:59:59.999989,3754.13,3798.46,3741.51,3798.46,0.0,0.0,Strategy,50,732380.9999999999
51,2006-day-001,51,2006-03-13 23:59:59.999989,3801.03,3827.45,3801.03,3824.97,0.0,0.0,Strategy,51,732383.9999999999
52,2006-day-001,52,2006-03-14 23:59:59.999989,3823.18,3833.48,3808.96,3833.48,0.0,0.0,Strategy,52,732384.9999999999
53,2006-day-001,53,2006-03-15 23:59:59.999989,3834.11,3853.33,3834.11,3842.16,0.0,0.0,Strategy,53,732385.9999999999
54,2006-day-001,54,2006-03-16 23:59:59.999989,3844.15,3847.88,3822.56,3839.71,0.0,0.0,Strategy,54,732386.9999999999
55,2006-day-001,55,2006-03-17 23:59:59.999989,3840.2,3874.64,3820.5,3832.43,0.0,0.0,Strategy,55,732387.9999999999
56,2006-day-001,56,2006-03-20 23:59:59.999989,3833.25,3863.95,3833.11,3842.03,0.0,0.0,Strategy,56,732390.9999999999
57,2006-day-001,57,2006-03-21 23:59:59.999989,3842.49,3848.17,3811.02,3848.17,0.0,0.0,Strategy,57,732391.9999999999
58,2006-day-001,58,2006-03-22 23:59:59.999989,3840.27,3872.62,3827.4,3868.48,0.0,0.0,Strategy,58,732392.9999999999
59,2006-day-001,59,2006-03-23 23:59:59.999989,3869.22,3878.49,3850.46,3860.13,0.0,0.0,Strategy,59,732393.9999999999
60,2006-day-001,60,2006-03-24 23:59:59.999989,3859.58,3875.01,3853.43,3870.89,0.0,0.0,Strategy,60,732394.9999999999
61,2006-day-001,61,2006-03-27 23:59:59.999989,3872.28,3872.28,3826.49,3828.53,0.0,0.0,Strategy,61,732397.9999999999
62,2006-day-001,62,2006-03-28 23:59:59.999989,3829.82,3846.52,3799.04,3811.45,0.0,0.0,Strategy,62,732398.9999999999
63,2006-day-001,63,2006-03-29 23:59:59.999989,3811.85,3830.7,3799.12,3826.3,0.0,0.0,Strategy,63,732399.9999999999
64,2006-day-001,64,2006-03-30 23:59:59.999989,3835.21,3881.69,3835.21,3874.61,0.0,0.0,Strategy,64,732400.9999999999
65,2006-day-001,65,2006-03-31 23:59:59.999989,3872.37,3872.37,3840.64,3853.74,0.0,0.0,Strategy,65,732401.9999999999
66,2006-day-001,66,2006-04-03 23:59:59.999989,3859.99,3881.11,3857.23,3878.64,0.0,0.0,Strategy,66,732404.9999999999
67,2006-day-001,67,2006-04-04 23:59:59.999989,3875.08,3875.08,3843.18,3850.11,0.0,0.0,Strategy,67,732405.9999999999
68,2006-day-001,68,2006-04-05 23:59:59.999989,3853.28,3865.82,3835.35,3863.92,0.0,0.0,Strategy,68,732406.9999999999
69,2006-day-001,69,2006-04-06 23:59:59.999989,3866.01,3879.7,3848.73,3861.29,0.0,0.0,Strategy,69,732407.9999999999
70,2006-day-001,70,2006-04-07 23:59:59.999989,3860.03,3874.59,3822.26,3823.11,0.0,0.0,Strategy,70,732408.9999999999
71,2006-day-001,71,2006-04-10 23:59:59.999989,3822.35,3843.52,3813.8,3843.52,0.0,0.0,Strategy,71,732411.9999999999
72,2006-day-001,72,2006-04-11 23:59:59.999989,3840.89,3843.62,3781.99,3788.81,0.0,0.0,Strategy,72,732412.9999999999
73,2006-day-001,73,2006-04-12 23:59:59.999989,3786.93,3791.15,3753.47,3776.94,0.0,0.0,Strategy,73,732413.9999999999
74,2006-day-001,74,2006-04-13 23:59:59.999989,3777.24,3787.52,3755.69,3779.94,0.0,0.0,Strategy,74,732414.9999999999
75,2006-day-001,75,2006-04-18 23:59:59.999989,3779.23,3779.23,3749.71,3770.79,0.0,0.0,Strategy,75,732419.9999999999
76,2006-day-001,76,2006-04-19 23:59:59.999989,3778.46,3825.18,3778.46,3820.96,0.0,0.0,Strategy,76,732420.9999999999
77,2006-day-001,77,2006-04-20 23:59:59.999989,3820.93,3878.29,3820.93,3860.0,0.0,0.0,Strategy,77,732421.9999999999
78,2006-day-001,78,2006-04-21 23:59:59.999989,3863.57,3892.35,3863.57,3888.46,0.0,0.0,Strategy,78,732422.9999999999
79,2006-day-001,79,2006-04-24 23:59:59.999989,3884.57,3884.57,3858.67,3862.27,0.0,0.0,Strategy,79,732425.9999999999
80,2006-day-001,80,2006-04-25 23:59:59.999989,3864.64,3888.65,3860.61,3871.09,0.0,0.0,Strategy,80,732426.9999999999
