===============================================================================
Id,2006-01-02-volume-min-001,len,datetime,open,high,low,close,volume,openinterest,Strategy,len,datetime
96,2006-01-02-volume-min-001,96,2006-01-02 10:38:00,3615.0,3615.0,3614.0,3614.0,31.0,0.0,Strategy,96,732313.4430555556
97,2006-01-02-volume-min-001,97,2006-01-02 10:39:00,3615.0,3615.0,3614.0,3614.0,10.0,0.0,Strategy,97,732313.44375
98,2006-01-02-volume-min-001,98,2006-01-02 10:40:00,3614.0,3615.0,3614.0,3615.0,4.0,0.0,Strategy,98,732313.4444444445
99,2006-01-02-volume-min-001,99,2006-01-02 10:41:00,3615.0,3615.0,3614.0,3614.0,1802.0,0.0,Strategy,99,732313.4451388889
100,2006-01-02-volume-min-001,100,2006-01-02 10:42:00,3615.0,3615.0,3614.0,3614.0,15.0,0.0,Strategy,100,732313.4458333333
101,2006-01-02-volume-min-001,101,2006-01-02 10:43:00,3614.0,3615.0,3614.0,3615.0,72.0,0.0,Strategy,101,732313.4465277778
102,2006-01-02-volume-min-001,102,2006-01-02 10:44:00,3615.0,3615.0,3615.0,3615.0,76.0,0.0,Strategy,102,732313.4472222222
103,2006-01-02-volume-min-001,103,2006-01-02 10:45:00,3614.0,3615.0,3614.0,3615.0,292.0,0.0,Strategy,103,732313.4479166666
104,2006-01-02-volume-min-001,104,2006-01-02 10:46:00,3615.0,3615.0,3615.0,3615.0,1.0,0.0,Strategy,104,732313.4486111111
105,2006-01-02-volume-min-001,105,2006-01-02 10:47:00,3615.0,3615.0,3614.0,3615.0,315.0,0.0,Strategy,105,732313.4493055556
106,2006-01-02-volume-min-001,106,2006-01-02 10:48:00,3614.0,3615.0,3614.0,3614.0,633.0,0.0,Strategy,106,732313.45
107,2006-01-02-volume-min-001,107,2006-01-02 10:49:00,3614.0,3614.0,3614.0,3614.0,110.0,0.0,Strategy,107,732313.4506944445
108,2006-01-02-volume-min-001,108,2006-01-02 10:50:00,3614.0,3615.0,3614.0,3614.0,219.0,0.0,Strategy,108,732313.4513888889
109,2006-01-02-volume-min-001,109,2006-01-02 10:51:00,3614.0,3615.0,3614.0,3614.0,35.0,0.0,Strategy,109,732313.4520833333
110,2006-01-02-volume-min-001,110,2006-01-02 10:52:00,3615.0,3615.0,3614.0,3614.0,202.0,0.0,Strategy,110,732313.4527777778
111,2006-01-02-volume-min-001,111,2006-01-02 10:53:00,3614.0,3614.0,3614.0,3614.0,80.0,0.0,Strategy,111,732313.4534722222
112,2006-01-02-volume-min-001,112,2006-01-02 10:54:00,3613.0,3614.0,3613.0,3614.0,126.0,0.0,Strategy,112,732313.4541666667
113,2006-01-02-volume-min-001,113,2006-01-02 10:55:00,3614.0,3614.0,3613.0,3613.0,476.0,0.0,Strategy,113,732313.4548611111
114,2006-01-02-volume-min-001,114,2006-01-02 10:56:00,3614.0,3614.0,3613.0,3613.0,33.0,0.0,Strategy,114,732313.4555555555
115,2006-01-02-volume-min-001,115,2006-01-02 10:57:00,3613.0,3614.0,3613.0,3614.0,57.0,0.0,Strategy,115,732313.45625
116,2006-01-02-volume-min-001,116,2006-01-02 10:58:00,3614.0,3614.0,3613.0,3614.0,51.0,0.0,Strategy,116,732313.4569444444
117,2006-01-02-volume-min-001,117,2006-01-02 10:59:00,3614.0,3614.0,3613.0,3613.0,737.0,0.0,Strategy,117,732313.4576388889
118,2006-01-02-volume-min-001,118,2006-01-02 11:00:00,3613.0,3613.0,3613.0,3613.0,26.0,0.0,Strategy,118,732313.4583333334
119,2006-01-02-volume-min-001,119,2006-01-02 11:01:00,3613.0,3613.0,3613.0,3613.0,314.0,0.0,Strategy,119,732313.4590277778
120,2006-01-02-volume-min-001,120,2006-01-02 11:02:00,3612.0,3614.0,3612.0,3614.0,197.0,0.0,Strategy,120,732313.4597222222
121,2006-01-02-volume-min-001,121,2006-01-02 11:03:00,3613.0,3613.0,3612.0,3613.0,363.0,0.0,Strategy,121,732313.4604166667
122,2006-01-02-volume-min-001,122,2006-01-02 11:04:00,3613.0,3613.0,3612.0,3613.0,34.0,0.0,Strategy,122,732313.4611111111
123,2006-01-02-volume-min-001,123,2006-01-02 11:05:00,3613.0,3613.0,3613.0,3613.0,60.0,0.0,Strategy,123,732313.4618055555
